year,player,team,stat,line,line_low,line_high,odds_low,odds_high,book,proj,source,snapshot
2024,De'Von Achane,MIA,rush_td,7,6.5,7.5,+100,-125,,7.5,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Isaiah Pacheco,KC,rush_td,7,6.5,7.5,-110,-115,,6,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Bijan Robinson,ATL,rush_td,6.5,6.5,6.5,-105,+110,,7,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,James Conner,ARI,rush_td,6.5,6.5,6.5,+110,-120,,6.5,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Zack Moss,CIN,rush_td,6.5,6.5,6.5,+105,-120,,6,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Najee Harris,PIT,rush_td,6,5.5,6.5,-115,-115,,7,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Rachaad White,TB,rush_td,5.5,5.5,5.5,-110,-110,,7,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Ezekiel Elliott,DAL,rush_td,5.5,5.5,5.5,+100,-130,,5,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Lamar Jackson,BAL,rush_td,5.5,5.5,5.5,+135,-125,,4,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Tony Pollard,TEN,rush_td,5.5,4.5,6.5,-145,-150,,3,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Aaron Jones,MIN,rush_td,5,4.5,5.5,+100,-120,,5.5,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,D'Andre Swift,CHI,rush_td,5,4.5,5.5,-149,+100,,5,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Zamir White,LV,rush_td,4.5,4.5,4.5,+100,-110,,7,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Rhamondre Stevenson,NE,rush_td,4.5,4.5,4.5,-115,-115,,6,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Kyler Murray,ARI,rush_td,4.5,4.5,4.5,-120,+110,,6,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Jonathon Brooks,CAR,rush_td,4.5,4.5,4.5,-110,-110,,5.5,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Alvin Kamara,NO,rush_td,4.5,4.5,4.5,-105,-110,,3,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Devin Singletary,NYG,rush_td,4,3.5,4.5,-115,-110,,4,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,James Cook,BUF,rush_td,3.5,3.5,3.5,+100,+105,,3,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Christian McCaffrey,SF,rush_yds,1138,1125.5,1150.5,-115,-110,,1296.6,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Jonathan Taylor,IND,rush_yds,1038,1025.5,1050.5,-112,-115,,1186.4,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Saquon Barkley,PHI,rush_yds,1025.5,1000.5,1050.5,-110,-140,,1158.1,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Breece Hall,NYJ,rush_yds,1025.5,1000.5,1050.5,-115,-110,,967.4,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Derrick Henry,BAL,rush_yds,963,925.5,1000.5,-112,-115,,1184.5,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Kyren Williams,LAR,rush_yds,950.5,950.5,950.5,-115,-115,,1052.8,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Bijan Robinson,ATL,rush_yds,950.5,900.5,1000.5,-115,-110,,917.0,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Josh Jacobs,GB,rush_yds,938,925.5,950.5,-112,-120,,923.3,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Travis Etienne,JAX,rush_yds,913,900.5,925.5,-115,-110,,972.8,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
