year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight,target_pyth_wins,target_avg_point_diff,target_luck
2019,WAS,6.0,3,-3.0,0,8.125,0.5,0.0,7,-4.875,5.74,1.26,7.438,1,15,3.8,-10.562,-0.7999999999999998
2020,ARI,7.5,8,0.5,0,8.188,0.5,0.0,5,-5.062,6.12,-1.12,8.25,3,238,9.04,2.688,-1.0399999999999991
2020,ATL,7.5,4,-3.5,0,8.594,1,-1.5,7,-1.125,7.56,-0.56,8.375,4,256,7.58,-1.125,-3.58
2020,BAL,11.5,11,-0.5,0,8.031,0,5.5,14,15.562,13.08,0.92,7.0,5,207,11.79,10.312,-0.7899999999999991
2020,BUF,9.0,13,4.0,0,8.219,0,3.0,10,3.438,9.79,0.21,8.375,3,151,10.64,7.875,2.3599999999999994
2020,CAR,5.5,5,-0.5,1,8.406,1,-3.0,5,-8.125,5.07,-0.07,7.938,2,152,6.7,-3.25,-1.7000000000000002
2020,CHI,8.0,8,0.0,0,7.938,1,-1.0,8,-1.125,7.41,0.59,8.062,2,96,8.05,0.125,-0.05000000000000071
2020,CIN,5.5,4,-1.5,0,8.375,1,-4.0,2,-8.812,4.4,-2.4,7.625,3,126,5.19,-7.062,-1.1900000000000004
2020,CLE,8.5,11,2.5,1,8.0,1,-3.0,6,-3.625,6.5,-0.5,7.375,5,236,7.75,-0.688,3.25
2020,DAL,10.0,6,-4.0,1,8.094,1,-1.0,8,7.062,10.74,-2.74,7.312,4,265,6.32,-4.875,-0.3200000000000003
2020,DEN,7.5,5,-2.5,0,8.469,0.5,0.0,7,-2.125,6.93,0.07,8.188,4,121,5.08,-7.688,-0.08000000000000007
2020,DET,7.0,5,-2.0,0,7.906,1,-3.5,3,-5.125,6.0,-3.0,8.375,3,143,5.11,-8.875,-0.11000000000000032
2020,GB,8.5,13,4.5,0,8.188,0,4.0,13,3.938,9.71,3.29,8.0,3,236,10.91,8.75,2.09
2020,HOU,7.5,4,-3.5,0,8.312,0,1.5,10,-0.438,7.83,2.17,8.25,4,158,6.24,-5.0,-2.24
2020,IND,9.5,11,1.5,0,7.656,1,-0.5,7,-0.75,7.69,-0.69,8.0,4,113,10.04,5.562,0.9600000000000009
2020,JAX,4.5,1,-3.5,0,8.281,1,-2.0,6,-6.062,5.44,0.56,7.875,2,40,3.92,-11.625,-2.92
2020,KC,11.5,14,2.5,0,8.031,0,1.5,12,8.938,11.39,0.61,8.0,4,339,10.45,6.938,3.5500000000000007
2020,LAC,8.0,7,-1.0,0,7.906,1,-5.0,5,-0.5,7.78,-2.78,7.875,3,120,7.02,-2.625,-0.019999999999999574
2020,LAR,8.5,10,1.5,0,8.375,1,-1.5,9,1.875,8.75,0.25,8.188,3,142,10.12,4.75,-0.11999999999999922
2020,LV,7.5,8,0.5,0,8.469,0,1.0,7,-6.625,5.34,1.66,7.938,2,122,7.09,-2.75,0.9100000000000001
2020,MIA,6.0,10,4.0,0,8.094,0,0.5,5,-11.75,3.89,1.11,8.438,2,12,9.67,4.125,0.33000000000000007
2020,MIN,9.0,7,-2.0,0,8.094,0,1.0,10,6.5,10.69,-0.69,8.188,3,181,7.06,-2.812,-0.05999999999999961
2020,NE,9.0,7,-2.0,0,8.281,0,0.5,12,12.188,13.03,-1.03,8.562,1,4,7.25,-1.688,-0.25
2020,NO,10.5,12,1.5,0,8.25,0,2.5,13,7.312,10.69,2.31,7.812,3,261,11.2,9.062,0.8000000000000007
2020,NYG,6.5,6,-0.5,1,8.594,1,-2.0,4,-6.875,5.44,-1.44,7.688,3,162,5.76,-4.812,0.2400000000000002
2020,NYJ,6.5,2,-4.5,0,8.531,1,-0.5,7,-5.188,5.59,1.41,8.5,1,61,2.93,-13.375,-0.9300000000000002
2020,PHI,9.5,4,-5.5,0,8.312,1,-1.0,9,1.938,8.79,0.21,7.75,3,178,5.92,-5.25,-1.92
2020,PIT,9.5,12,2.5,0,8.031,1,-1.5,8,-0.875,7.55,0.45,7.312,3,91,10.63,6.5,1.3699999999999992
2020,SEA,9.5,12,2.5,0,8.188,0,2.0,11,0.438,8.17,2.83,8.062,4,248,9.98,5.5,2.0199999999999996
2020,SF,10.5,6,-4.5,0,8.219,0,5.0,13,10.562,11.79,1.21,8.375,4,120,7.65,-0.875,-1.6500000000000004
2020,TB,9.5,11,1.5,0,8.062,0,0.5,7,0.562,8.19,-1.19,8.0,6,296,10.95,8.562,0.05000000000000071
2020,TEN,8.5,11,2.5,0,7.938,0,1.0,9,4.438,9.81,-0.81,7.938,3,146,9.06,3.25,1.9399999999999995
2020,WAS,5.0,7,2.0,1,8.469,1,-3.0,3,-10.562,3.8,-0.8,7.375,1,29,8.17,0.375,-1.17
2021,ARI,8.5,11,2.5,0,8.735,0,0.5,8,2.688,9.04,-1.04,8.118,3,188,10.52,4.882,0.4800000000000004
2021,ATL,7.5,7,-0.5,1,8.559,1,-3.5,4,-1.125,7.58,-3.58,7.235,4,219,4.89,-8.588,2.1100000000000003
2021,BAL,10.5,8,-2.5,0,8.794,1,-0.5,11,10.312,11.79,-0.79,8.941,3,161,8.37,-0.294,-0.3699999999999992
2021,BUF,11.5,11,-0.5,0,8.441,0,4.0,13,7.875,10.64,2.36,7.647,2,175,13.12,11.412,-2.119999999999999
2021,CAR,7.5,5,-2.5,0,8.559,1,-0.5,5,-3.25,6.7,-1.7,7.529,2,123,5.74,-5.882,-0.7400000000000002
2021,CHI,7.5,6,-1.5,0,8.794,0.5,0.0,8,0.125,8.05,-0.05,8.765,3,147,5.88,-5.647,0.1200000000000001
2021,CIN,6.5,10,3.5,0,8.941,1,-1.5,4,-7.062,5.19,-1.19,8.471,4,149,10.49,4.941,-0.4900000000000002
2021,CLE,10.5,8,-2.5,0,8.412,0,2.5,11,-0.688,7.75,3.25,8.235,4,175,7.89,-1.294,0.11000000000000032
2021,DAL,9.0,12,3.0,0,8.559,1,-4.0,6,-4.875,6.32,-0.32,7.176,4,283,12.19,10.118,-0.1899999999999995
2021,DEN,9.0,7,-2.0,0,8.412,1,-2.5,5,-7.688,5.08,-0.08,7.471,4,72,8.9,0.765,-1.9000000000000004
2021,DET,4.5,3,-1.5,1,8.941,1,-2.0,5,-8.875,5.11,-0.11,8.412,2,90,5.06,-8.353,-2.0599999999999996
2021,GB,10.5,13,2.5,0,8.647,0,4.5,13,8.75,10.91,2.09,8.647,5,278,10.41,4.647,2.59
2021,HOU,4.0,4,0.0,1,8.971,1,-3.5,4,-5.0,6.24,-2.24,8.059,1,3,4.14,-10.118,-0.13999999999999968
2021,IND,9.0,9,0.0,0,8.529,0,1.5,11,5.562,10.04,0.96,7.647,1,82,10.59,5.059,-1.5899999999999999
2021,JAX,6.5,3,-3.5,1,8.412,1,-3.5,1,-11.625,3.92,-2.92,7.824,2,106,3.36,-12.0,-0.3599999999999999
2021,KC,12.5,12,-0.5,0,8.853,0,2.5,14,6.938,10.45,3.55,8.118,4,346,11.19,6.824,0.8100000000000005
2021,LAC,9.5,9,-0.5,1,8.676,1,-1.0,7,-2.625,7.02,-0.02,7.824,3,225,8.82,0.882,0.17999999999999972
2021,LAR,10.5,12,1.5,0,8.647,0,1.5,10,4.75,10.12,-0.12,8.235,4,203,10.59,5.176,1.4100000000000001
2021,LV,7.5,10,2.5,0,9.088,0,0.5,8,-2.75,7.09,0.91,8.353,3,138,6.91,-3.824,3.09
2021,MIA,9.0,9,0.0,0,8.471,0,4.0,10,4.125,9.67,0.33,7.529,2,79,7.6,-1.882,1.4000000000000004
2021,MIN,9.0,8,-1.0,0,8.588,1,-2.0,7,-2.812,7.06,-0.06,8.471,4,230,8.48,-0.059,-0.4800000000000004
2021,NE,9.5,10,0.5,0,8.647,1,-2.0,7,-1.688,7.25,-0.25,7.824,1,33,12.43,9.353,-2.4299999999999997
2021,NO,9.0,9,0.0,0,8.853,0,1.5,12,9.062,11.2,0.8,7.706,3,132,9.33,1.706,-0.33000000000000007
