year,team,win_total_line,over_odds,under_odds,actual_wins,result,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins,n_games,sos_actual_wins,sos_pyth_wins,sos_this_year_line,next_actual_wins,next_pyth_wins,next_win_total_line,sos_next_yr_line,win_change,pyth_win_change,schedule_delta_actual,schedule_delta_pyth,luck
2023,DAL,10.0,-130,110,12,Over,17,509,315,194,11.412,0.7572,12.87,17,7.588235294117647,7.283529411764706,8.559,7,5.68,10.0,8.588,-5,-7.1899999999999995,0.9997647058823524,1.3044705882352936,-0.8699999999999992
2024,DAL,10.0,115,-135,7,Under,17,350,468,-118,-6.941,0.3344,5.68,17,8.882352941176471,8.745882352941177,8.588,7,7.68,7.5,8.853,0,2.0,-0.029352941176471248,0.1071176470588231,1.3200000000000003
2015,DEN,10.0,-140,120,12,Over,16,355,296,59,3.688,0.6061,9.7,16,8.0,8.158125,8.219,9,9.08,9.5,8.281,-3,-0.6199999999999992,0.2810000000000006,0.12287500000000051,2.3000000000000007
2016,DEN,9.5,130,-150,9,Under,16,333,297,36,2.25,0.5674,9.08,16,8.75,8.536875,8.281,5,5.45,8.0,8.281,-4,-3.63,-0.4689999999999994,-0.25587499999999963,-0.08000000000000007
2017,DEN,8.0,100,-120,5,Under,16,289,382,-93,-5.812,0.3405,5.45,16,7.875,7.70875,8.281,6,7.44,7.0,8.094,1,1.9900000000000002,0.21899999999999942,0.3852499999999992,-0.4500000000000002
2018,DEN,7.0,-180,150,6,Under,16,329,349,-20,-1.25,0.4651,7.44,16,8.3125,8.046875,8.094,7,6.93,7.0,8.406,1,-0.5100000000000007,0.09350000000000058,0.3591250000000006,-1.4400000000000004
2019,DEN,7.0,-130,110,7,Push,16,282,316,-34,-2.125,0.433,6.93,16,8.125,8.118125000000001,8.406,5,5.08,7.5,8.469,-2,-1.8499999999999996,0.3439999999999994,0.3508749999999985,0.07000000000000028
2020,DEN,7.5,-130,110,5,Under,16,323,446,-123,-7.688,0.3176,5.08,16,9.0625,8.483125,8.469,7,8.9,9.0,8.412,2,3.8200000000000003,-0.6504999999999992,-0.07112499999999855,-0.08000000000000007
2021,DEN,9.0,100,-120,7,Under,17,335,322,13,0.765,0.5234,8.9,17,8.176470588235293,7.7841176470588245,8.412,5,6.3,10.0,8.588,-2,-2.6000000000000005,0.4115294117647057,0.8038823529411747,-1.9000000000000004
2022,DEN,10.0,110,-130,5,Under,17,287,359,-72,-4.235,0.3704,6.3,17,8.117647058823529,8.301176470588235,8.588,8,7.05,8.5,8.647,3,0.75,0.5293529411764712,0.3458235294117653,-1.2999999999999998
2023,DEN,8.5,110,-130,8,Under,17,357,413,-56,-3.294,0.4145,7.05,17,8.294117647058824,8.481764705882354,8.647,10,11.51,5.5,8.647,2,4.46,0.352882352941176,0.1652352941176467,0.9500000000000002
2024,DEN,5.5,-170,150,10,Over,17,425,311,114,6.706,0.677,11.51,17,8.529411764705882,8.268823529411764,8.647,14,10.99,9.5,8.618,4,-0.5199999999999996,0.08858823529411808,0.34917647058823675,-1.5099999999999998
2015,DET,8.5,130,-150,7,Under,16,358,400,-42,-2.625,0.4346,6.95,16,8.5625,8.2375,8.438,9,7.68,7.0,8.094,2,0.7299999999999995,-0.4685000000000006,-0.1435000000000013,0.04999999999999982
2016,DET,7.0,-150,130,9,Over,16,346,358,-12,-0.75,0.4798,7.68,16,7.5625,7.64625,8.094,9,8.82,7.5,8.344,0,1.1400000000000006,0.7814999999999994,0.6977499999999992,1.3200000000000003
2017,DET,7.5,120,-140,9,Over,16,410,376,34,2.125,0.5511,8.82,16,7.9375,7.7993749999999995,8.344,6,7.01,7.5,8.312,-3,-1.8100000000000005,0.3744999999999994,0.5126249999999999,0.17999999999999972
2018,DET,7.5,-110,-110,6,Under,16,324,360,-36,-2.25,0.4379,7.01,16,7.9375,7.9375,8.312,3,6.0,6.5,8.125,-3,-1.0099999999999998,0.1875,0.1875,-1.0099999999999998
2019,DET,6.5,-150,130,3,Under,16,341,423,-82,-5.125,0.375,6.0,16,8.0625,8.13375,8.125,5,5.11,7.0,7.906,2,-0.8899999999999997,-0.1565000000000003,-0.22774999999999945,-3.0
2020,DET,7.0,-130,110,5,Under,16,377,519,-142,-8.875,0.3192,5.11,16,8.125,8.43375,7.906,3,5.06,4.5,8.941,-2,-0.05000000000000071,0.8160000000000007,0.5072500000000009,-0.11000000000000032
2021,DET,4.5,-130,110,3,Under,17,325,467,-142,-8.353,0.2975,5.06,17,8.941176470588236,8.674117647058823,8.941,9,9.09,6.5,8.235,6,4.03,-0.7061764705882361,-0.43911764705882383,-2.0599999999999996
2022,DET,6.5,-150,130,9,Over,17,453,427,26,1.529,0.535,9.09,17,9.0,8.649411764705881,8.235,12,10.04,9.5,8.441,3,0.9499999999999993,-0.5589999999999993,-0.20841176470588074,-0.08999999999999986
2023,DET,9.5,-120,100,12,Over,17,461,395,66,3.882,0.5905,10.04,17,8.176470588235293,8.715882352941176,8.441,15,13.02,10.5,8.529,3,2.9800000000000004,0.3525294117647064,-0.1868823529411756,1.9600000000000009
2024,DET,10.5,-130,110,15,Over,17,564,342,222,13.059,0.7659,13.02,17,8.764705882352942,8.611764705882353,8.529,9,10.02,10.5,9.147,-6,-3.0,0.38229411764705823,0.5352352941176477,1.9800000000000004
2015,GB,11.0,140,-160,10,Under,16,368,323,45,2.812,0.5767,9.23,16,8.5,8.205625,8.094,10,9.01,10.5,7.844,0,-0.22000000000000064,-0.6559999999999997,-0.3616249999999992,0.7699999999999996
2016,GB,10.5,-170,150,10,Under,16,432,388,44,2.75,0.5633,9.01,16,8.0625,8.028125,7.844,7,6.3,10.5,8.125,-3,-2.71,0.0625,0.09687500000000071,0.9900000000000002
2017,GB,10.5,120,-140,7,Under,16,320,384,-64,-4.0,0.3936,6.3,16,8.625,8.57375,8.125,6,7.41,10.0,7.969,-1,1.1100000000000003,-0.6559999999999997,-0.6047500000000001,0.7000000000000002
2018,GB,10.0,-120,100,6,Under,16,376,400,-24,-1.5,0.4634,7.41,16,7.75,7.71625,7.969,13,9.71,9.0,8.094,7,2.3000000000000007,0.3439999999999994,0.3777499999999998,-1.4100000000000001
2019,GB,9.0,-140,120,13,Over,16,376,313,63,3.938,0.607,9.71,16,7.1875,7.829375,8.094,13,10.91,8.5,8.188,0,1.1999999999999993,1.0005000000000006,0.35862500000000086,3.289999999999999
2020,GB,8.5,-120,100,13,Over,16,509,369,140,8.75,0.6819,10.91,16,6.8125,7.48125,8.188,13,10.41,10.5,8.647,0,-0.5,1.8345000000000002,1.16575,2.09
