year,player_id,player,team,team_start,traded,position,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds,rush_rec_yards,rush_rec_tds
2024,00-0034928,Steven Sims,BAL,HOU,yes,WR,9,1,0,0,0,0,0,0,0,0
2024,00-0035280,Jake Bailey,MIA,MIA,,P,16,1,0,0,0,0,0,0,0,0
2024,00-0039407,Dylan Laube,LV,LV,,RB,6,1,0,0,0,0,0,0,0,0
2024,00-0039907,Ja'Lynn Polk,NE,NE,,WR,14,1,0,0,0,12,87,2,87,2
2024,00-0033858,Jonnu Smith,MIA,MIA,,TE,17,2,-1,0,0,88,884,8,883,8
2024,00-0035311,Myles Gaskin,MIN,MIN,,RB,4,3,-1,0,0,1,11,0,10,0
2024,00-0038400,Tanner McKee,PHI,PHI,,QB,2,5,-1,0,1,0,0,0,-1,0
2024,00-0039614,Jermaine Jackson,NO,NO,,WR,4,1,-1,0,0,0,0,0,-1,0
2024,00-0033319,Nick Mullens,MIN,MIN,,QB,4,3,-2,0,0,0,0,0,-2,0
2024,00-0034488,Tavierre Thomas,TB,TB,,SAF,9,1,-2,0,0,0,0,0,-2,0
2024,00-0035100,Jake Browning,CIN,CIN,,QB,2,2,-2,0,0,0,0,0,-2,0
2024,00-0031236,Brandin Cooks,DAL,DAL,,WR,10,3,-3,0,0,26,259,3,256,3
2024,00-0036387,Jalen Reagor,LAC,LAC,,WR,7,3,-3,0,0,7,100,0,97,0
2024,00-0037238,Drake London,ATL,ATL,,WR,17,1,-3,0,0,100,1271,9,1268,9
2024,00-0035631,Drew Sample,CIN,CIN,,TE,11,1,-4,0,0,20,109,1,105,1
2024,00-0036637,Noah Gray,KC,KC,,TE,16,1,-4,0,0,40,437,5,433,5
2024,00-0036913,Kadarius Toney,CLE,CLE,,WR,3,2,-4,0,0,0,0,0,-4,0
2024,00-0036928,Kyle Trask,TB,TB,,QB,3,5,-4,0,0,0,0,0,-4,0
2024,00-0037291,Jalen Nailor,MIN,MIN,,WR,15,3,-4,0,1,28,414,6,410,6
2024,00-0038129,Cade Otton,TB,TB,,TE,14,1,-4,0,0,59,600,4,596,4
2024,00-0038582,Clayton Tune,ARI,ARI,,QB,5,7,-4,0,2,0,0,0,-4,0
2024,00-0038979,Cedric Tillman,CLE,CLE,,WR,9,1,-5,0,0,29,339,3,334,3
2024,00-0039392,Jha'Quan Jackson,TEN,TEN,,WR,12,1,-5,0,0,1,8,0,3,0
2024,00-0037247,George Pickens,PIT,PIT,,WR,14,2,-6,0,0,59,900,3,894,3
